Study_Hours,Attendance,Extracurricular,Past_Score,Final_Score
6,73,No,85,81.00779333886238
8,78,No,63,88.82526551600363
4,96,Yes,67,79.88726745281268
6,97,Yes,85,89.66331319500841
5,66,Yes,63,67.77765271163749
11,72,No,73,110.29711090368514
4,94,Yes,74,79.91896010155257
4,81,Yes,61,73.42011740477383
11,92,Yes,79,114.3403523767957
4,65,No,88,75.4099452655472
6,68,No,56,74.40630449844076
6,86,No,58,78.9005772163597
7,77,Yes,57,76.91749037480317
4,90,Yes,69,71.25361631922551
2,56,No,54,50.15882866748688
12,79,Yes,53,107.5890380735641
2,98,No,50,56.434615948871816
6,53,No,81,81.43999168258141
2,79,No,53,58.59537172536551
7,51,Yes,57,77.25627713821848
10,62,No,60,96.61794435924303
7,80,Yes,63,86.64947830385184
9,77,Yes,74,100.53364541281233
10,72,No,62,93.80758810280912
9,82,No,69,95.39159405931319
6,82,Yes,51,79.10844439187915
6,72,No,83,89.3967279996991
8,79,Yes,86,97.490030500066
1,61,Yes,54,40.21506796709892
10,65,No,66,94.59673840600794
5,70,No,51,67.60571245500489
5,56,No,66,70.36983583388182
1,85,No,61,51.76729917798146
10,52,Yes,67,93.90497980707215
9,50,No,58,88.1946089504002
10,50,No,54,81.64221981808569
12,60,No,70,101.66341972534268
8,60,Yes,66,83.9536696386531
5,89,No,55,73.98200916588618
2,78,No,68,64.29815534486127
2,56,Yes,68,53.78970536183343
4,51,No,54,61.804035842822344
2,80,No,66,57.610051592313596
12,70,No,90,117.49323961101148
1,80,Yes,87,59.30379006326324
1,69,Yes,59,44.63378559529814
12,81,No,72,109.14593448722516
6,93,Yes,59,80.63963189512953
8,53,Yes,76,81.7624750557702
2,54,No,50,41.55827435423529
9,56,Yes,54,86.81216716699294
6,59,No,69,79.30676221428473
6,86,Yes,55,76.1528442342183
3,77,No,55,61.63992442816084
8,68,Yes,74,86.09709013753772
11,53,No,83,105.0537091541525
12,78,Yes,56,110.2700219879128
3,85,Yes,75,67.33130605589685
12,63,No,86,113.00445083904941
4,72,No,74,73.37624607903224
6,61,Yes,68,79.31044530918408
12,99,No,89,130.1931258783607
8,82,No,76,94.7143510524212
2,77,Yes,87,65.96716617024826
11,59,Yes,62,92.86858591025046
3,52,Yes,87,65.4143385958304
6,79,Yes,61,75.550332409161
11,55,Yes,80,101.71997083978538
7,91,Yes,51,79.73033346476427
5,78,No,58,68.42344847327475
6,76,Yes,77,80.46319046049356
5,67,Yes,69,72.34492652295359
2,64,Yes,66,51.774750557592974
10,59,No,89,105.66549048877758
11,63,Yes,66,104.01003153201879
2,82,No,88,64.8918050981569
3,74,Yes,55,58.43504254908157
9,86,No,78,105.45868511966462
3,87,Yes,72,65.29812096208269
3,86,No,90,78.03794150500585
9,93,Yes,70,99.72198555048067
7,88,No,87,93.11628064250891
6,66,Yes,79,77.7364780307975
2,83,No,59,61.22160436850754
3,56,No,74,64.73408693629625
9,95,Yes,79,108.93110432621323
7,79,Yes,88,91.24897495724481
8,53,No,52,74.53413082526181
1,73,Yes,88,57.56664481311802
9,62,Yes,90,100.62922588982451
2,53,Yes,50,45.78115540082857
8,73,No,59,85.31530384474524
2,71,No,50,51.26481132768068
6,84,No,86,87.04921259951675
10,60,No,53,93.31047241165825
12,98,Yes,90,121.60262342283963
5,86,Yes,59,70.68082638729211
6,67,No,61,77.33258211104614
6,92,No,72,82.98493837207467
9,91,No,53,90.18199001341114
6,67,Yes,82,80.68393049401556
2,54,Yes,54,48.50172168446478
7,79,Yes,54,79.66775092311609
8,74,Yes,53,85.58798815851814
1,76,No,74,54.540469868851126
5,59,No,64,70.48292501519767
5,94,Yes,85,82.6439524046085
9,91,Yes,86,108.26040917264835
8,76,Yes,62,85.57940770352488
11,93,No,53,99.43333297944095
6,93,Yes,59,77.21133964315717
5,65,No,74,69.70997214469341
8,82,No,76,92.17231655198538
4,80,No,53,64.65295535890849
8,92,No,50,90.8733345331144
2,79,No,75,58.77355224621881
6,96,Yes,71,82.72220428010934
7,95,No,83,99.18799213908297
10,95,Yes,65,107.02050233590651
2,81,No,88,72.13406437060016
4,64,Yes,60,61.25217907771207
11,71,No,68,104.45214266365015
4,56,No,73,68.13604191277565
2,69,No,66,57.15979967744113
4,56,Yes,87,75.05802252042261
4,65,No,70,66.0890647056749
4,97,No,85,87.68197801824124
11,76,No,84,107.06662336745042
3,65,No,57,60.831401622407704
5,67,No,85,79.04834298625465
2,89,Yes,53,54.99000554564583
9,60,Yes,62,83.15213901029162
3,64,No,83,63.7160193863797
6,66,Yes,71,83.11436965515942
2,58,No,52,48.85206026355759
9,80,Yes,71,98.98588601630186
6,74,No,71,80.97648523634066
7,91,Yes,69,92.71881134359239
10,52,Yes,89,98.27778642005845
4,93,No,80,77.80456421777829
7,56,Yes,69,80.33919844791087
2,91,No,56,63.5385448617394
9,57,No,79,89.39417434870383
12,58,Yes,61,101.12591495489588
11,80,Yes,68,103.51537648459205
11,50,No,73,94.40166202119791
12,79,Yes,51,106.5887651280267
7,57,Yes,66,76.53886080075348
12,53,Yes,67,98.10308537326027
8,80,Yes,54,84.46559744509098
5,89,No,53,74.71816389924305
10,67,No,61,97.50682998304808
2,76,No,77,63.169698098311436
7,65,Yes,80,90.4156261466809
8,99,Yes,52,95.03553777158535
3,56,No,79,58.59025352338673
10,73,No,77,105.73346137457301
3,81,No,74,70.29137032120582
1,59,No,80,58.47844256263065
5,77,Yes,53,67.39973229899486
7,90,Yes,80,94.5264322037876
9,98,Yes,51,99.51948239229813
12,67,Yes,53,98.87184440082748
6,67,Yes,82,83.11529129141549
4,69,No,80,75.95015731912457
12,79,Yes,89,121.64472193145615
9,54,Yes,73,92.13639020185396
5,91,No,50,76.10916852163875
10,59,Yes,73,98.37847460488788
6,64,Yes,90,87.25688381418561
12,99,No,86,122.38376056958285
6,62,Yes,76,76.12538097357351
10,76,Yes,69,101.02381206307565
1,82,No,68,55.909806638853624
5,71,Yes,80,80.2330227834039
4,74,No,72,68.16316586627244
1,54,No,64,44.292695054612295
8,63,No,63,87.55792151389203
3,64,Yes,64,59.13297470235563
10,88,Yes,61,96.62983946301328
10,86,Yes,77,105.9780084934509
4,76,No,71,68.37210260644056
2,66,No,68,54.744491110328205
5,85,Yes,59,73.5364244230615
11,84,Yes,67,110.5612336844143
7,53,No,51,74.26975544039936
11,63,No,83,106.546898951993
7,61,Yes,69,76.38037160649782
1,86,Yes,67,62.45248176561428
8,86,No,57,85.51655318032519
1,95,Yes,70,57.30549679634503
6,83,Yes,66,83.26935778949797
5,92,No,64,76.24303490392084
6,91,No,54,83.59517599475811
12,76,Yes,69,114.45240840455571
8,60,No,59,78.54937886569057
5,88,No,74,76.48949008812389
9,85,Yes,71,100.54811241539394
9,52,No,70,88.54582964899059
3,91,Yes,85,75.02122048243578
12,64,No,56,97.66344795640728
5,82,No,73,77.13399326088405
11,76,Yes,55,104.12017565852324
12,69,Yes,78,107.89426346348179
4,55,No,75,69.43457688797835
5,62,No,83,76.39493790958474
3,96,Yes,85,73.49864823906836
1,76,No,71,60.35781609820627
9,100,No,78,109.50090043315747
6,50,Yes,55,69.6783603936293
11,57,Yes,81,101.09557331854667
3,71,No,72,63.36805689755741
11,57,Yes,83,100.97924127095689
1,93,Yes,80,67.5354460078587
9,72,Yes,68,93.708407050025
5,85,No,50,66.31520482228672
12,76,No,52,108.07783119941891
3,76,No,58,60.17593414737432
2,70,Yes,84,62.701526457093024
4,61,Yes,61,65.60796504567183
11,98,No,61,106.90414336953951
11,97,No,72,110.66256451983057
6,77,No,65,82.79410859077633
8,51,Yes,86,86.11780720315821
7,71,No,71,84.01452943814736
2,100,Yes,86,74.72583937028355
2,61,Yes,54,53.655055258018656
3,95,No,75,75.70143548495771
8,86,No,90,103.360766268882
3,51,Yes,58,52.0797333386298
11,58,Yes,60,95.6877972675071
2,78,Yes,78,69.19736759367063
7,95,No,65,88.4873366244508
7,82,Yes,90,93.62822434147239
8,85,Yes,58,84.04136928267317
3,88,No,73,72.50421421943531
7,84,Yes,77,89.0018358682499
4,83,Yes,65,68.20322197858927
3,76,No,61,64.77444274545675
5,57,Yes,89,76.5526493957972
5,64,No,54,61.974382084796346
1,89,No,51,55.431133088242646
12,54,Yes,84,108.55493279705102
10,65,Yes,68,93.45173732113341
10,78,Yes,73,104.91470000318174
4,76,Yes,69,70.19382493769534
3,82,No,80,66.82379166356282
5,84,No,86,86.47473154471615
11,52,Yes,68,95.00847689467624
8,94,No,64,98.66057510561262
3,70,No,64,65.76354880096633
10,62,Yes,61,95.84428518883482
9,94,Yes,51,89.14111691129429
7,73,Yes,50,76.37226035305335
12,63,No,67,106.23370384057476
9,93,Yes,79,101.31666222392153
7,54,No,72,76.95793911571278
7,86,No,90,94.08325053200039
2,70,Yes,63,52.472599444037336
1,82,No,74,59.96837394146056
2,85,Yes,66,59.160179783005795
4,68,No,56,62.03237205545897
3,77,Yes,63,65.32696282262879
7,86,Yes,52,83.19516920255529
1,75,Yes,68,52.0832714246066
4,86,No,65,75.72362332413817
12,63,Yes,86,115.67515498867012
1,95,Yes,60,57.86363407686007
6,82,Yes,75,88.38400806198837
11,87,Yes,52,106.66945914600774
11,60,No,70,97.9097942461033
6,64,No,76,75.37175046964339
5,92,Yes,83,84.98626002087124
8,59,Yes,69,87.58842565546766
2,63,No,85,66.28393547985537
2,97,No,52,59.758374523549506
4,71,Yes,78,77.04320418210256
1,71,No,81,55.282627344032335
7,94,Yes,58,85.82596092991966
6,86,Yes,52,73.86276994170608
8,62,No,62,80.1650261790669
8,68,No,57,87.57121167574319
4,57,Yes,67,62.34066317217899
1,76,No,65,54.605567674329514
8,66,Yes,58,87.4786468958634
12,58,No,78,110.83951480910855
8,50,Yes,58,77.56990313411572
10,59,No,52,86.24648979198858
2,76,No,85,70.06642421311041
5,75,Yes,59,68.36150951682785
2,80,Yes,63,61.288495032336506
8,91,No,76,101.62959503947755
4,94,No,64,77.32043760411061
7,59,Yes,63,73.70842157558326
4,69,Yes,68,69.14670761312577
8,87,No,84,104.68840449267395
4,84,Yes,54,69.077949503309
5,50,No,83,71.74230974625793
10,94,Yes,63,105.73874864014583
7,85,Yes,53,83.6559768250008
8,55,Yes,55,74.69462788931722
6,98,No,51,83.86653064401771
10,67,No,54,88.11854766175473
3,52,No,60,50.11486222854836
2,66,No,77,57.36549420691805
3,52,Yes,57,56.39515426796116
6,73,No,84,87.96369042755441
4,78,No,77,74.67380269089824
1,50,No,60,47.49984670119465
8,61,No,85,95.54446825464643
10,58,Yes,68,90.02765539975148
12,89,Yes,77,121.47576278192403
10,83,No,77,109.96401744366207
2,61,No,75,59.60505107548198
3,85,Yes,80,73.25208670374771
8,97,Yes,61,91.7975599011551
5,55,No,86,71.43911215458903
12,59,Yes,89,109.98697400738025
6,88,Yes,82,92.93389604656778
5,52,Yes,59,59.207590843579666
6,69,Yes,89,87.98969693376453
1,88,Yes,83,66.70137376436367
7,81,Yes,59,81.78842319274351
12,86,Yes,50,101.91046318329262
9,97,Yes,73,106.4701880923387
8,52,Yes,61,84.24746075249624
4,63,No,50,54.70646495712793
6,97,Yes,85,90.13691967833225
8,56,No,77,88.66626921669221
1,58,Yes,60,42.38171518068022
8,74,Yes,77,94.0910994304133
5,82,No,74,79.37301463214541
4,67,No,79,72.81071191009234
11,57,Yes,68,101.8159115807967
10,99,Yes,66,106.43570701666376
11,91,No,87,114.03419077128783
8,55,Yes,83,85.00913799353168
11,88,No,54,101.55556188573249
5,89,No,59,74.59320353888333
3,99,No,88,84.48484686936526
10,66,No,70,98.79720191348207
1,68,No,76,51.11461954741838
1,81,Yes,75,63.32811812485381
2,57,Yes,78,60.0371757769411
6,67,No,63,73.77645448719164
1,98,Yes,63,57.71107444486993
6,53,No,61,70.15607977292119
5,77,Yes,64,74.6378605556645
3,68,No,58,61.79555202773488
2,75,Yes,66,61.30715156690241
1,80,No,59,54.53566687546339
6,69,No,66,79.06020820989606
9,96,No,77,100.4786396795248
12,64,No,55,100.77065630702094
9,50,Yes,62,80.92112300782708
3,56,No,62,53.36459766499599
7,55,Yes,85,86.83843840270075
11,100,No,77,114.37755477317845
11,51,Yes,87,102.4854110175718
1,96,Yes,71,64.56930326560816
7,79,No,68,85.43269752242503
8,74,No,89,101.48090214377518
10,52,No,86,97.57836674896087
11,58,No,82,105.52717658794082
7,82,No,69,90.37074926223887
2,71,No,90,68.1227907843757
7,69,Yes,67,84.23632030347761
6,54,No,51,68.22695959232794
11,99,Yes,63,106.49696039790373
6,62,No,53,72.13855377825192
10,50,No,60,85.24653713938015
11,69,Yes,88,108.5250458575808
